,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_ColNum,Grid_SectionNum,Size_Area,Size_IntegratedIntensity
16,17,306.626022041,1652.03981514,276,1625,337,1681,1,9,21,2813.0,1257.79155686
17,18,308.115303244,836.297602257,277,808,341,865,1,4,16,2836.0,1259.32381216
18,19,306.073448547,999.864493323,278,974,337,1027,1,5,17,2546.0,1089.11244078
19,20,309.66495836,671.839846252,279,643,342,702,1,3,15,3122.0,1396.46476157
20,21,308.820103858,345.920623145,280,319,339,374,1,1,13,2696.0,1217.26940431
21,22,309.040948276,508.433189655,285,490,340,532,1,2,14,1392.0,573.132737647
22,23,317.452103217,147.746907034,287,120,348,178,1,0,12,2829.0,1255.04564314
23,24,471.034319899,344.361146096,439,315,504,375,2,1,25,3176.0,1433.57524118
24,25,470.947980614,151.722778675,440,122,503,182,2,0,24,3095.0,1370.73768667
25,26,468.714046823,1652.74540134,441,1627,497,1679,2,9,33,2392.0,1034.38559608
26,27,469.468595041,1814.3838843,441,1790,499,1840,2,10,34,2420.0,1014.19211961
27,28,469.898728215,836.887423457,442,813,498,862,2,4,28,2123.0,909.765349804
28,29,469.218390805,1489.50915283,442,1465,498,1515,2,8,32,2349.0,1018.97597804
29,30,472.766219645,672.294671983,443,645,504,701,2,3,27,2759.0,1238.86138392
30,31,470.848397699,1978.86195563,443,1954,500,2005,2,11,35,2434.0,1035.87522196
31,32,469.774084507,1326.6456338,445,1304,495,1350,2,7,31,1775.0,707.788429412
32,33,467.871525633,1163.42680667,446,1143,491,1185,2,6,30,1619.0,631.01996
33,34,604.828353837,1153.26537786,582,1132,629,1175,3,6,42,1707.0,696.918935686
34,35,614.675778547,1318.96920415,584,1291,646,1348,3,7,43,2890.0,1217.82030784
