Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,211,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,212,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,213,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,214,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,215,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,216,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,217,5,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,218,5,matched,181.0,10.5247203609,-1.21227886325,3.08592571572,-1.21227886325,-61.2829682784,-6.75742026476,15.6026410931,0.119614136135
R3C4,reciprocal_one_to_one,219,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,220,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,221,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,222,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,223,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,224,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,225,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,226,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,227,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,228,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,229,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,230,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,231,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,232,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,233,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,234,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,235,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,236,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,237,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,238,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,239,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,240,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,241,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,242,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,243,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,244,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,245,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,246,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,247,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,248,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,249,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,250,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,251,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,252,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,253,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,254,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,255,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,256,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,257,6,matched,218.0,9.53269026267,3.80667629184,5.01895515509,3.80667629184,-57.4762919866,-2.95074397292,19.4093173849,0.131340743094
